ue,herbi,presence,sps,voisin,comb,combttt,RGR,Freebiomass,Fpredmoytige,Nbfragments,DMCbiom
61,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.71,0,NA,-1,4.206
51,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.46,0,66.67,-1,6.404
35,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.43,0,94.87,1,6.857
2,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.38,0,83.33,-1,7.046
11,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.32,0,53.03,0,7.191
4,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.29,0,41.2,-1,6.447
33,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.27,0,62.5,1,6.334
66,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.18,0.01,80,2,6.622
27,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.14,0,35.65,0,6.598
22,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.13,0,60,2,7.204
44,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,-0.08,0,50.37,0,5.671
37,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.06,0.03,75.44,2,6.305
57,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.04,0,53.33,0,6.22
68,ESP,Herbi,Egeria,Ms,EGMS,EGMSS,-0.03,0.02,57.41,4,5.426
18,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,0,0,35.42,2,6.004
46,ESP,Herbi,Egeria,Ju,EGJU,EGJUS,0,0.04,60,2,5.634
33,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.03,0.13,14.81,2,7.382
44,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.04,0,39.29,0,6.333
22,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.04,0,43.64,0,8.521
9,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.05,0.21,73.33,2,7.429
42,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.05,0.37,71.75,0,6.582
70,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.05,0.12,62.84,0,6.346
61,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.06,0,53.33,0,7.055
66,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.07,0.09,61.11,0,6.396
2,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.08,0.23,22.04,0,7.744
20,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.09,0.04,3.7,0,7.768
18,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.09,0.09,15.07,0,6.662
28,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.1,0.07,15.87,0,5.787
53,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.1,0,44.44,0,5.75
46,ESP,Herbi,Jussie,Eg,JUEG,JUEGS,0.12,0.07,47.42,1,4.975
13,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,0.13,0.05,31.65,2,5.438
59,ESP,Herbi,Jussie,Ms,JUMS,JUMSS,NA,0,18.52,0,7.018
35,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.72,0.07,50,0,10.769
27,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.67,0,77.78,0,8.696
4,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.55,0,66.67,-1,8.455
11,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.51,0,38.1,-1,8.504
9,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.43,0.08,NA,2,10.044
68,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.25,0,30.04,0,11.289
51,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.21,0,15,1,15.244
57,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,-0.16,0.1,46.67,3,8.328
70,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.15,0,50.76,2,6.201
28,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.13,0,40,0,9.615
59,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.12,0,32.86,0,12.118
20,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.11,0,17.32,0,12.511
13,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.1,0.1,16.03,0,8.968
42,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.07,0,NA,2,6.621
53,ESP,Herbi,MSpi,Ju,MSJU,MSJUS,-0.06,0,8.46,1,8.554
37,ESP,Herbi,MSpi,Eg,MSEG,MSEGS,0.03,0,28.33,0,9.37
