ue,numF,sps,voisin,herbi,ttt,combttt,LDMC,SLA 
4,T2F1,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T2F2,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T2F3,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T3F1,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T3F2,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T3F3,Mspi,Egeria,H,ESP,EHS,NA,NA
4,T1F1,Mspi,Egeria,H,ESP,EHS,164.06,NA
4,T1F3,Mspi,Egeria,H,ESP,EHS,140.19,NA
4,T1F2,Mspi,Egeria,H,ESP,EHS,124.14,NA
11,T2F2,Mspi,Egeria,H,ESP,EHS,NA,NA
11,T2F3,Mspi,Egeria,H,ESP,EHS,NA,NA
11,T3F1,Mspi,Egeria,H,ESP,EHS,NA,NA
11,T3F2,Mspi,Egeria,H,ESP,EHS,NA,NA
11,T3F3,Mspi,Egeria,H,ESP,EHS,NA,NA
11,T1F3,Mspi,Egeria,H,ESP,EHS,182.69,NA
11,T2F1,Mspi,Egeria,H,ESP,EHS,129.03,NA
11,T1F2,Mspi,Egeria,H,ESP,EHS,124.26,NA
11,T1F1,Mspi,Egeria,H,ESP,EHS,122.17,NA
27,T2F1,Mspi,Egeria,H,ESP,EHS,NA,NA
27,T2F2,Mspi,Egeria,H,ESP,EHS,NA,NA
27,T2F3,Mspi,Egeria,H,ESP,EHS,NA,NA
27,T1F1,Mspi,Egeria,H,ESP,EHS,302.33,NA
27,T3F1,Mspi,Egeria,H,ESP,EHS,204.08,NA
27,T1F3,Mspi,Egeria,H,ESP,EHS,128.21,NA
27,T1F2,Mspi,Egeria,H,ESP,EHS,115.94,NA
27,T3F2,Mspi,Egeria,H,ESP,EHS,95.24,NA
27,T3F3,Mspi,Egeria,H,ESP,EHS,84.75,NA
35,T1F1,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T1F2,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T1F3,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T2F1,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T2F2,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T2F3,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T3F3,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T3F2,Mspi,Egeria,H,ESP,EHS,NA,NA
35,T3F1,Mspi,Egeria,H,ESP,EHS,NA,NA
37,T3F3,Mspi,Egeria,H,ESP,EHS,558.14,NA
37,T3F1,Mspi,Egeria,H,ESP,EHS,309.52,NA
37,T3F2,Mspi,Egeria,H,ESP,EHS,306.12,NA
37,T1F1,Mspi,Egeria,H,ESP,EHS,173.91,NA
37,T2F1,Mspi,Egeria,H,ESP,EHS,160.00,NA
37,T1F3,Mspi,Egeria,H,ESP,EHS,159.42,NA
37,T2F2,Mspi,Egeria,H,ESP,EHS,142.86,NA
37,T2F3,Mspi,Egeria,H,ESP,EHS,87.72,NA
37,T1F2,Mspi,Egeria,H,ESP,EHS,69.44,NA
51,T1F1,Mspi,Egeria,H,ESP,EHS,NA,NA
51,T1F2,Mspi,Egeria,H,ESP,EHS,NA,NA
51,T1F3,Mspi,Egeria,H,ESP,EHS,NA,NA
51,T2F3,Mspi,Egeria,H,ESP,EHS,260.87,NA
51,T3F3,Mspi,Egeria,H,ESP,EHS,233.33,NA
51,T2F2,Mspi,Egeria,H,ESP,EHS,215.69,NA
51,T3F1,Mspi,Egeria,H,ESP,EHS,181.82,NA
51,T2F1,Mspi,Egeria,H,ESP,EHS,170.73,NA
51,T3F2,Mspi,Egeria,H,ESP,EHS,47.62,NA
57,T3F2,Mspi,Egeria,H,ESP,EHS,304.35,NA
57,T2F3,Mspi,Egeria,H,ESP,EHS,235.29,NA
57,T1F3,Mspi,Egeria,H,ESP,EHS,188.68,NA
57,T3F3,Mspi,Egeria,H,ESP,EHS,184.87,NA
57,T3F1,Mspi,Egeria,H,ESP,EHS,166.67,NA
57,T2F1,Mspi,Egeria,H,ESP,EHS,124.09,NA
57,T1F1,Mspi,Egeria,H,ESP,EHS,121.21,NA
57,T1F2,Mspi,Egeria,H,ESP,EHS,76.92,NA
